n,branch_policy,lower_bound,incumbent_heuristic,num_runs,avg_runtime,avg_nodes_explored,avg_pruned_states,avg_pruning_rate,proof_rate,time_limit_rate,avg_incumbent_updates
10,random,trivial,nn_2opt_fast,3,0.20690430530036488,157876.0,103214.0,0.6551632750681097,1.0,0.0,0.6666666666666666
12,greedy,mst,greedy_2opt_fast,3,0.009483014388630787,1148.6666666666667,958.0,0.843513316147697,1.0,0.0,0.6666666666666666
12,greedy,mst,multistart_2opt_fast,3,0.010545763497551283,1148.6666666666667,958.0,0.843513316147697,1.0,0.0,0.6666666666666666
12,greedy,mst,nn_2opt_fast,3,0.009330736473202705,1139.0,950.6666666666666,0.8468337407529898,1.0,0.0,0.6666666666666666
12,greedy,trivial,greedy_2opt_fast,3,2.978003333477924,2026765.6666666667,1504013.0,0.7420750286876491,0.3333333333333333,0.6666666666666666,0.6666666666666666
12,greedy,trivial,multistart_2opt_fast,3,2.9745893894384303,2023892.3333333333,1501788.6666666667,0.742037037606904,0.3333333333333333,0.6666666666666666,0.6666666666666666
12,greedy,trivial,nn_2opt_fast,3,3.0000014166968563,2019435.6666666667,1498558.0,0.7420162874487302,0.0,1.0,0.6666666666666666
12,lexicographic,mst,greedy_2opt_fast,3,0.009973291928569475,1277.0,1062.0,0.8427545010666312,1.0,0.0,1.0
12,lexicographic,mst,multistart_2opt_fast,3,0.010988944365332523,1277.0,1062.0,0.8427545010666312,1.0,0.0,1.0
12,lexicographic,mst,nn_2opt_fast,3,0.009938541799783707,1259.6666666666667,1048.3333333333333,0.8460667412550258,1.0,0.0,1.0
12,lexicographic,trivial,greedy_2opt_fast,3,2.579800805542618,2225406.6666666665,1652315.6666666667,0.7434834120125445,0.6666666666666666,0.3333333333333333,1.0
12,lexicographic,trivial,multistart_2opt_fast,3,2.587936596479267,2234308.0,1659238.3333333333,0.7436425798614411,0.6666666666666666,0.3333333333333333,1.0
12,lexicographic,trivial,nn_2opt_fast,3,2.5792775691176453,2219100.0,1648067.3333333333,0.7436239752473645,0.6666666666666666,0.3333333333333333,1.0
12,nearest,mst,greedy_2opt_fast,3,0.009215347779293856,1148.6666666666667,958.0,0.843513316147697,1.0,0.0,0.6666666666666666
12,nearest,mst,multistart_2opt_fast,3,0.01044202751169602,1148.6666666666667,958.0,0.843513316147697,1.0,0.0,0.6666666666666666
12,nearest,mst,nn_2opt_fast,3,0.009120375073204437,1139.0,950.6666666666666,0.8468337407529898,1.0,0.0,0.6666666666666666
12,nearest,trivial,greedy_2opt_fast,3,2.839065569297721,2057216.3333333333,1526964.3333333333,0.742324386218975,0.6666666666666666,0.3333333333333333,0.6666666666666666
12,nearest,trivial,multistart_2opt_fast,3,2.841051985975355,2100464.6666666665,1559672.3333333333,0.7428874186172197,0.6666666666666666,0.3333333333333333,0.6666666666666666
12,nearest,trivial,nn_2opt_fast,3,2.839373083319515,2106708.3333333335,1564663.0,0.7430835873357323,0.6666666666666666,0.3333333333333333,0.6666666666666666
12,random,mst,greedy_2opt_fast,3,0.010152166709303856,1263.0,1052.6666666666667,0.8434765743939633,1.0,0.0,1.0
12,random,mst,multistart_2opt_fast,3,0.011460319316635529,1267.0,1055.6666666666667,0.8433752899227143,1.0,0.0,1.0
12,random,mst,nn_2opt_fast,3,0.009668222473313412,1219.0,1017.0,0.8468322088317009,1.0,0.0,1.0
12,random,trivial,greedy_2opt_fast,3,2.8149775974452496,2105712.0,1569224.3333333333,0.7454543271674315,0.6666666666666666,0.3333333333333333,0.6666666666666666
12,random,trivial,multistart_2opt_fast,3,2.8026707360210517,2118780.3333333335,1578038.0,0.7450950260452808,0.6666666666666666,0.3333333333333333,1.0
12,random,trivial,nn_2opt_fast,3,2.8845788332012794,2106436.3333333335,1570074.3333333333,0.745595976679207,0.6666666666666666,0.3333333333333333,0.6666666666666666
