n,seed,branch_policy,lower_bound,incumbent_heuristic,optimal_cost,runtime,nodes_explored,pruned_states,pruning_rate,proof_time,optimality_proven,time_limit_hit,initial_incumbent,incumbent_updates
10,1,nearest,trivial,greedy_2opt_fast,2833.2721574374555,0.24275058321654797,181349,116348,0.6415695702760975,0.24275058321654797,True,False,2893.4358227247294,1
10,1,nearest,trivial,multistart_2opt_fast,2833.2721574374555,0.23644866701215506,178129,114931,0.6452121776914483,0.23644866701215506,True,False,2833.2721574374555,0
10,1,greedy,trivial,nn_2opt_fast,2833.2721574374555,0.2556509170681238,178129,114931,0.6452121776914483,0.2556509170681238,True,False,2833.2721574374555,0
10,1,greedy,trivial,greedy_2opt_fast,2833.2721574374555,0.2610167502425611,181349,116348,0.6415695702760975,0.2610167502425611,True,False,2893.4358227247294,1
10,1,greedy,trivial,multistart_2opt_fast,2833.2721574374555,0.2573464997112751,178129,114931,0.6452121776914483,0.2573464997112751,True,False,2833.2721574374555,0
10,1,random,trivial,nn_2opt_fast,2833.2721574374555,0.2300767912529409,178129,114931,0.6452121776914483,0.2300767912529409,True,False,2833.2721574374555,0
10,1,random,trivial,greedy_2opt_fast,2833.2721574374555,0.23978904215618968,185577,118839,0.6403756931085209,0.23978904215618968,True,False,2893.4358227247294,1
10,1,random,trivial,multistart_2opt_fast,2833.2721574374555,0.2607506671920419,178129,114931,0.6452121776914483,0.2607506671920419,True,False,2833.2721574374555,0
10,1,lexicographic,mst,nn_2opt_fast,2833.2721574374555,0.0010006669908761978,125,103,0.824,0.0010006669908761978,True,False,2833.2721574374555,0
10,1,lexicographic,mst,greedy_2opt_fast,2833.2721574374555,0.0012529590167105198,168,132,0.7857142857142857,0.0012529590167105198,True,False,2893.4358227247294,2
10,1,lexicographic,mst,multistart_2opt_fast,2833.2721574374555,0.0016487501561641693,125,103,0.824,0.0016487501561641693,True,False,2833.2721574374555,0
10,1,nearest,mst,nn_2opt_fast,2833.2721574374555,0.001236999873071909,125,103,0.824,0.001236999873071909,True,False,2833.2721574374555,0
10,1,nearest,mst,greedy_2opt_fast,2833.2721574374555,0.0012934999540448189,167,135,0.8083832335329342,0.0012934999540448189,True,False,2893.4358227247294,1
10,1,nearest,mst,multistart_2opt_fast,2833.2721574374555,0.0020324578508734703,125,103,0.824,0.0020324578508734703,True,False,2833.2721574374555,0
10,1,greedy,mst,nn_2opt_fast,2833.2721574374555,0.0009383750148117542,125,103,0.824,0.0009383750148117542,True,False,2833.2721574374555,0
10,1,greedy,mst,greedy_2opt_fast,2833.2721574374555,0.0012922496534883976,167,135,0.8083832335329342,0.0012922496534883976,True,False,2893.4358227247294,1
10,1,greedy,mst,multistart_2opt_fast,2833.2721574374555,0.0016640000976622105,125,103,0.824,0.0016640000976622105,True,False,2833.2721574374555,0
10,1,random,mst,nn_2opt_fast,2833.2721574374555,0.0009207497350871563,125,103,0.824,0.0009207497350871563,True,False,2833.2721574374555,0
10,1,random,mst,greedy_2opt_fast,2833.2721574374555,0.0014902912080287933,193,155,0.8031088082901554,0.0014902912080287933,True,False,2893.4358227247294,1
10,1,random,mst,multistart_2opt_fast,2833.2721574374555,0.0017748749814927578,125,103,0.824,0.0017748749814927578,True,False,2833.2721574374555,0
