n,seed,method,length,time,gap_pct
50,2,Greedy Insertion + 2-opt fast,6299.198624688065,0.003936583176255226,
50,2,MultiStart Greedy Insertion,6350.224003252887,0.38240258302539587,
50,2,Simulated Annealing,6216.567940244806,0.03020158363506198,
50,2,MultiStart 2-opt fast (10),6091.447800776088,0.23029908305034041,
50,3,Random,23998.795272528147,1.8459279090166092e-05,
50,3,Random + 2-opt,6765.216552290163,0.49708187486976385,
50,3,Random + 2-opt fast,6765.216552290163,0.03390145814046264,
50,3,Nearest Neighbor,7480.827039195448,0.0002260417677462101,
50,3,Nearest Neighbor + 2-opt,6610.26469730492,0.05436920886859298,
50,3,Nearest Neighbor + 2-opt fast,6610.26469730492,0.003589542116969824,
50,3,MultiStart Nearest Neighbor,6693.228325035956,0.011395375244319439,
50,3,Greedy Insertion,6515.440032538045,0.007979124784469604,
50,3,Greedy Insertion + 2-opt fast,6086.204538787059,0.0031187920831143856,
50,3,MultiStart Greedy Insertion,6437.70153376403,0.3855910422280431,
50,3,Simulated Annealing,6086.204538787059,0.03185395896434784,
50,3,MultiStart 2-opt fast (10),6034.880478379968,0.26453237514942884,
50,4,Random,24618.64526826454,4.550023004412651e-05,
50,4,Random + 2-opt,6601.083209203471,0.5156131251715124,
50,4,Random + 2-opt fast,6601.083209203471,0.03333275020122528,
50,4,Nearest Neighbor,7814.454577329302,0.00021920865401625633,
50,4,Nearest Neighbor + 2-opt,7118.780747308478,0.12026674998924136,
50,4,Nearest Neighbor + 2-opt fast,7118.780747308478,0.007993791718035936,
50,4,MultiStart Nearest Neighbor,6757.118155777888,0.011181666981428862,
50,4,Greedy Insertion,7276.596940596561,0.007572000380605459,
50,4,Greedy Insertion + 2-opt fast,6509.1422152131345,0.003613916225731373,
50,4,MultiStart Greedy Insertion,6477.8030166056515,0.38471066718921065,
50,4,Simulated Annealing,6471.184529168791,0.030821375083178282,
50,4,MultiStart 2-opt fast (10),6188.748138363306,0.2731425412930548,
100,0,Random,57229.28632607984,5.0166621804237366e-05,
100,0,Random + 2-opt,9126.980783229656,9.455294208135456,
100,0,Random + 2-opt fast,9126.980783229656,0.33261199994012713,
100,0,Nearest Neighbor,10133.168182933057,0.0009132497943937778,
100,0,Nearest Neighbor + 2-opt,8873.500529942796,1.599197625182569,
100,0,Nearest Neighbor + 2-opt fast,8873.500529942796,0.05530000012367964,
100,0,MultiStart Nearest Neighbor,9662.082948505225,0.08663704199716449,
100,0,Greedy Insertion,9703.68139979368,0.06125120772048831,
100,0,Greedy Insertion + 2-opt fast,9014.083524347381,0.01980695780366659,
100,0,MultiStart Greedy Insertion,9172.247476942724,6.145326458849013,
100,0,Simulated Annealing,9014.083524347381,0.030931209214031696,
100,0,MultiStart 2-opt fast (10),7879.734435097271,2.8599095828831196,
100,1,Random,50565.97731467076,3.191595897078514e-05,
100,1,Random + 2-opt,8663.766774216652,7.019191457889974,
100,1,Random + 2-opt fast,8663.766774216652,0.2460879161953926,
100,1,Nearest Neighbor,9632.28743099737,0.0008841250091791153,
100,1,Nearest Neighbor + 2-opt,8853.47189777215,0.7991930828429759,
100,1,Nearest Neighbor + 2-opt fast,8853.47189777215,0.027042082976549864,
100,1,MultiStart Nearest Neighbor,9011.398529590524,0.0852223327383399,
100,1,Greedy Insertion,8542.66591309778,0.0614418750628829,
100,1,Greedy Insertion + 2-opt fast,8289.909273085217,0.008809749968349934,
100,1,MultiStart Greedy Insertion,8452.560070942674,6.160050542093813,
100,1,Simulated Annealing,8289.909273085217,0.03181120799854398,
100,1,MultiStart 2-opt fast (10),7883.323660299437,2.867469625081867,
100,2,Random,51422.970123765,6.587477400898933e-05,
100,2,Random + 2-opt,8518.3785623813,7.758541249670088,
100,2,Random + 2-opt fast,8518.3785623813,0.2710202499292791,
100,2,Nearest Neighbor,8988.94598199589,0.0008369171991944313,
100,2,Nearest Neighbor + 2-opt,8567.294065451906,0.8690583328716457,
100,2,Nearest Neighbor + 2-opt fast,8567.294065451906,0.030978832859545946,
100,2,MultiStart Nearest Neighbor,8558.417606832485,0.08738337503746152,
100,2,Greedy Insertion,9103.577309618582,0.06323895929381251,
100,2,Greedy Insertion + 2-opt fast,8469.551360351577,0.022562916856259108,
100,2,MultiStart Greedy Insertion,9007.318276559487,6.158913041930646,
100,2,Simulated Annealing,8469.551360351577,0.030417957808822393,
100,2,MultiStart 2-opt fast (10),8300.317264062996,2.8253178750164807,
100,3,Random,48597.88061527859,4.2667146772146225e-05,
100,3,Random + 2-opt,8911.58410020143,7.033914000261575,
100,3,Random + 2-opt fast,8911.58410020143,0.24824449978768826,
100,3,Nearest Neighbor,10476.024840759124,0.0008294587023556232,
100,3,Nearest Neighbor + 2-opt,9395.42286119451,1.1102862916886806,
100,3,Nearest Neighbor + 2-opt fast,9395.42286119451,0.03776350012049079,
100,3,MultiStart Nearest Neighbor,9545.147899902471,0.08842420810833573,
100,3,Greedy Insertion,9166.871147236398,0.06233858410269022,
100,3,Greedy Insertion + 2-opt fast,8528.591449656762,0.024940833915024996,
100,3,MultiStart Greedy Insertion,8738.453549961596,6.489443125203252,
100,3,Simulated Annealing,8528.591449656762,0.032272125128656626,
100,3,MultiStart 2-opt fast (10),8528.49147358951,2.804399208165705,
100,4,Random,52001.42422291112,4.616705700755119e-05,
100,4,Random + 2-opt,9003.065388581566,9.639151374809444,
100,4,Random + 2-opt fast,9003.065388581566,0.33632366731762886,
100,4,Nearest Neighbor,9174.267702625566,0.0009096669964492321,
100,4,Nearest Neighbor + 2-opt,8787.644312878547,1.0451140003278852,
100,4,Nearest Neighbor + 2-opt fast,8787.644312878547,0.03618329204618931,
100,4,MultiStart Nearest Neighbor,8525.483359989517,0.08762529212981462,
100,4,Greedy Insertion,9034.007090246707,0.06182699976488948,
100,4,Greedy Insertion + 2-opt fast,8526.258486924731,0.029384333174675703,
100,4,MultiStart Greedy Insertion,8650.14961259693,6.20355649990961,
100,4,Simulated Annealing,8526.258486924731,0.03178962506353855,
100,4,MultiStart 2-opt fast (10),8255.209249805459,3.23328262520954,
